,hw_title,subject,class_year,task,type_task,solution,extra_text,umit,umitsistem_id
10,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили азот и водород. В результате реакции образовалось вещество, которое окислили кислородом в присутствии катализатора. Полученный оксид полностью прореагировал с избытком кислорода. Выделившееся вещество пропустили через едкий калий. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между азотом и водородом — это реакция соединения:</p><p><strong>N<sub>2&nbsp;</sub>+ 3H<sub>2</sub>&nbsp;= 2NH</strong><sub><strong>3</strong></sub></p><p>2. Произошло окисление аммиака кислородом в присутствии катализатора, в результате реакции получаем оксид азота(II) и воду:</p><p><strong>4NH<sub>3</sub> + 5O<sub>2</sub>&nbsp;= 4NO + 6H<sub>2</sub>O</strong></p><p>3. Оксид, который будет реагировать с избытком кислорода, — это NO:</p><p><strong>4NO + 3O<sub>2</sub>&nbsp;= 2N<sub>2</sub>O</strong><sub><strong>5</strong></sub></p><p>4. Едкий калий — это КОН, он будет реагировать с оксидом азота(V):</p><p><strong>2КОН + N<sub>2</sub>O<sub>5</sub>&nbsp;= 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,"Основные соединения азота. Оксиды и кислоты азота, аммиак и их физические и химические свойства",115
11,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили азот и водород. В результате реакции образовалось вещество, которое окислили кислородом в присутствии катализатора. Полученный оксид полностью прореагировал с избытком кислорода. Выделившееся вещество пропустили через едкий калий. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между азотом и водородом — это реакция соединения:</p><p><strong>N<sub>2&nbsp;</sub>+ 3H<sub>2</sub>&nbsp;= 2NH</strong><sub><strong>3</strong></sub></p><p>2. Произошло окисление аммиака кислородом в присутствии катализатора, в результате реакции получаем оксид азота(II) и воду:</p><p><strong>4NH<sub>3</sub> + 5O<sub>2</sub>&nbsp;= 4NO + 6H<sub>2</sub>O</strong></p><p>3. Оксид, который будет реагировать с избытком кислорода, — это NO:</p><p><strong>4NO + 3O<sub>2</sub>&nbsp;= 2N<sub>2</sub>O</strong><sub><strong>5</strong></sub></p><p>4. Едкий калий — это КОН, он будет реагировать с оксидом азота(V):</p><p><strong>2КОН + N<sub>2</sub>O<sub>5</sub>&nbsp;= 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Составление уравнений реакций,1201
12,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили азот и водород. В результате реакции образовалось вещество, которое окислили кислородом в присутствии катализатора. Полученный оксид полностью прореагировал с избытком кислорода. Выделившееся вещество пропустили через едкий калий. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между азотом и водородом — это реакция соединения:</p><p><strong>N<sub>2&nbsp;</sub>+ 3H<sub>2</sub>&nbsp;= 2NH</strong><sub><strong>3</strong></sub></p><p>2. Произошло окисление аммиака кислородом в присутствии катализатора, в результате реакции получаем оксид азота(II) и воду:</p><p><strong>4NH<sub>3</sub> + 5O<sub>2</sub>&nbsp;= 4NO + 6H<sub>2</sub>O</strong></p><p>3. Оксид, который будет реагировать с избытком кислорода, — это NO:</p><p><strong>4NO + 3O<sub>2</sub>&nbsp;= 2N<sub>2</sub>O</strong><sub><strong>5</strong></sub></p><p>4. Едкий калий — это КОН, он будет реагировать с оксидом азота(V):</p><p><strong>2КОН + N<sub>2</sub>O<sub>5</sub>&nbsp;= 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Установление логических связей,1202
13,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Окислительно-восстановительные реакции и принципы их протекания,41
14,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Общие химические свойства металлов,203
15,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Свойства железа и его соединений (оксидов и гидроксидов),208
16,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Химические свойства кислотных оксидов,304
17,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Химические свойства щелочей,410
18,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Составление уравнений реакций,1201
19,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Установление логических связей,1202
20,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Основно-кислотные взаимодействия и их принципы,1257
